Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

28.26487833,-1.57337300,-1.91521200,-3.16658500,-3.97845200,-10.96325000
28.27487833,-1.60084200,-1.91521200,-3.13911600,-3.97845200,-11.50653000
28.28487833,-1.57337300,-1.88926900,-3.16658500,-3.92351400,-11.17690000
28.29487833,-1.57337300,-1.88926900,-3.13911600,-3.92351400,-12.05591000
28.30487833,-1.60084200,-1.91521200,-3.19405400,-3.92351400,-11.72628000
28.31487833,-1.57337300,-1.88926900,-3.11317300,-3.92351400,-11.94604000
28.32487833,-1.54590400,-1.88926900,-3.11317300,-3.87010100,-11.39666000
28.33487833,-1.60084200,-1.88926900,-3.13911600,-3.97845200,-12.27567000
28.34487833,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-11.72628000
28.35487833,-1.57337300,-1.88926900,-3.13911600,-3.95098300,-11.94604000
28.36487832,-1.57337300,-1.91521200,-3.13911600,-3.89757000,-11.61641000
28.37487832,-1.57337300,-1.86179900,-3.11317300,-3.92351400,-11.72628000
28.38487832,-1.54590400,-1.86179900,-3.11317300,-3.89757000,-11.72628000
28.39487832,-1.54590400,-1.88926900,-3.11317300,-3.92351400,-11.61641000
28.40487832,-1.57337300,-1.88926900,-3.13911600,-3.89757000,-11.39666000
28.41487832,-1.54590400,-1.88926900,-3.13911600,-3.95098300,-11.94604000
28.42487832,-1.54590400,-1.91521200,-3.13911600,-3.97845200,-11.06702000
28.43487832,-1.60084200,-1.91521200,-3.16658500,-3.97845200,-12.27567000
28.44487832,-1.57337300,-1.91521200,-3.19405400,-3.97845200,-11.72628000
28.45487832,-1.57337300,-1.91521200,-3.16658500,-3.92351400,-11.83616000
28.46487832,-1.54590400,-1.88926900,-3.13911600,-3.92351400,-12.16579000
28.47487832,-1.57337300,-1.91521200,-3.19405400,-3.97845200,-11.50653000
28.48487832,-1.60084200,-1.91521200,-3.16658500,-3.95098300,-11.72628000
28.49487832,-1.54590400,-1.88926900,-3.16658500,-3.95098300,-11.17690000
28.50487832,-1.60084200,-1.91521200,-3.11317300,-4.00439500,-11.83616000
28.51487832,-1.57337300,-1.88926900,-3.16658500,-3.92351400,-11.50653000
28.52487832,-1.54590400,-1.88926900,-3.13911600,-3.95098300,-12.05591000
28.53487832,-1.57337300,-1.88926900,-3.13911600,-3.95098300,-11.50653000
28.54487832,-1.60084200,-1.91521200,-3.19405400,-3.95098300,-11.94604000
